{'description': {'en': 'gentoo overlay containing games ebuilds only'},
 'feed': ['https://github.com/hasufell/games-overlay/commits/master.atom'],
 'homepage': 'https://github.com/hasufell/games-overlay',
 'name': 'games-overlay',
 'owner': [{'email': 'hasufell@gentoo.org',
            'name': 'Julian Ospald',
            'type': 'person'}],
 'quality': 'experimental',
 'source': [{'type': 'git',
             'uri': 'git://github.com/hasufell/games-overlay.git'}],
 'status': 'unofficial'}
$ pmaint sync games-overlay
WARNING:pkgcore:repository at '/home/mgorny/repos/steveeJ' has unsupported profile format(s): 'profile-set'
WARNING:pkgcore:repository at '/home/mgorny/repos/steveeJ' has unsupported profile format(s): 'profile-set'
From git://github.com/hasufell/games-overlay
   a86b0a1..6ebb8be  master     -> origin/master
Updating a86b0a1..6ebb8be
Fast-forward
 app-eselect/eselect-renpy/eselect-renpy-0.1.ebuild                      | 2 +-
 app-eselect/eselect-renpy/eselect-renpy-0.2.ebuild                      | 2 +-
 app-eselect/eselect-renpy/eselect-renpy-0.3.ebuild                      | 2 +-
 app-eselect/eselect-renpy/eselect-renpy-0.4.ebuild                      | 2 +-
 app-eselect/eselect-renpy/eselect-renpy-0.5.ebuild                      | 2 +-
 app-eselect/eselect-renpy/eselect-renpy-0.6.ebuild                      | 2 +-
 dev-games/goatee/goatee-0.3.0.ebuild                                    | 2 +-
 dev-python/pygame_sdl2/pygame_sdl2-6.99.1.ebuild                        | 2 +-
 dev-python/pygame_sdl2/pygame_sdl2-6.99.2.ebuild                        | 2 +-
 dev-python/pygame_sdl2/pygame_sdl2-6.99.3.ebuild                        | 2 +-
 dev-python/pygame_sdl2/pygame_sdl2-6.99.4.ebuild                        | 2 +-
 dev-python/pygame_sdl2/pygame_sdl2-6.99.5.ebuild                        | 2 +-
 games-action/brutal-legend/brutal-legend-20130615-r1.ebuild             | 2 +-
 games-action/chromium-bsu/chromium-bsu-0.9.15.1.ebuild                  | 2 +-
 games-action/minetest/minetest-0.4.12-r1.ebuild                         | 2 +-
 games-action/minetest/minetest-0.5.0_rc.ebuild                          | 2 +-
 games-action/minetest/minetest-9999.ebuild                              | 2 +-
 games-action/minetest_game/minetest_game-0.4.12-r1.ebuild               | 2 +-
 games-action/minetest_game/minetest_game-0.4.12.ebuild                  | 2 +-
 games-action/minetest_game/minetest_game-9999.ebuild                    | 2 +-
 games-action/supertuxkart/supertuxkart-0.8.1.ebuild                     | 2 +-
 games-action/supertuxkart/supertuxkart-0.9.ebuild                       | 2 +-
 games-action/trosh/trosh-20.ebuild                                      | 2 +-
 games-adventure/pioneer/pioneer-20150715.ebuild                         | 2 +-
 games-arcade/berusky/berusky-1.6.ebuild                                 | 2 +-
 games-arcade/berusky/berusky-1.7.ebuild                                 | 2 +-
 games-arcade/commandergenius/commandergenius-1.7.4.0.ebuild             | 2 +-
 games-arcade/lix/lix-99999999.ebuild                                    | 2 +-
 games-arcade/mari0/mari0-1.6.ebuild                                     | 2 +-
 games-arcade/notpacman/notpacman-1.0.4.ebuild                           | 2 +-
 games-arcade/nottetris2/nottetris2-1.ebuild                             | 2 +-
 games-arcade/opensonic/opensonic-0.1.4-r1.ebuild                        | 2 +-
 games-arcade/retrobattle/retrobattle-1.0.0-r1.ebuild                    | 2 +-
 games-board/awale/awale-1.6.ebuild                                      | 2 +-
 games-board/capicity/capicity-1.0.ebuild                                | 2 +-
 games-board/goatee-gtk/goatee-gtk-0.2.0-r1.ebuild                       | 2 +-
 games-board/goatee-gtk/goatee-gtk-0.3.0.ebuild                          | 2 +-
 games-board/netmaumau/netmaumau-0.12-r1.ebuild                          | 2 +-
 games-board/netmaumau/netmaumau-0.13-r1.ebuild                          | 2 +-
 games-board/netmaumau/netmaumau-0.14.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.15.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.16-r1.ebuild                          | 2 +-
 games-board/netmaumau/netmaumau-0.17.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.18.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.19.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.20.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.21.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.22.ebuild                             | 2 +-
 games-board/netmaumau/netmaumau-0.23.ebuild                             | 2 +-
 games-board/openyahtzee/openyahtzee-1.9.1.ebuild                        | 2 +-
 games-board/openyahtzee/openyahtzee-1.9.2.ebuild                        | 2 +-
 games-board/pioneers/pioneers-15.3.ebuild                               | 2 +-
 games-board/pychess/pychess-0.10.1-r2.ebuild                            | 2 +-
 games-board/pychess/pychess-0.12_beta4.ebuild                           | 2 +-
 games-board/pysolfc/pysolfc-2.0-r3.ebuild                               | 2 +-
 games-board/stockfish/stockfish-20131129.ebuild                         | 2 +-
 games-board/stockfish/stockfish-6.ebuild                                | 2 +-
 games-emulation/epsxe/epsxe-1.6.0-r5.ebuild                             | 2 +-
 games-emulation/gambatte/gambatte-0.5.0_p20131102-r1.ebuild             | 2 +-
 games-emulation/gambatte/gambatte-9999.ebuild                           | 2 +-
 games-emulation/psemu-gpupetemesagl/psemu-gpupetemesagl-1.78-r1.ebuild  | 2 +-
 games-emulation/psemu-gpupetexgl2/psemu-gpupetexgl2-2.0.9-r1.ebuild     | 2 +-
 games-emulation/psemu-padxwin/psemu-padxwin-1.6-r1.ebuild               | 2 +-
 games-emulation/psemu-peopssoftgpu/psemu-peopssoftgpu-1.18-r1.ebuild    | 2 +-
 games-emulation/psemu-peopsspu/psemu-peopsspu-1.0.9-r1.ebuild           | 2 +-
 games-engines/OpenJK/OpenJK-9999.ebuild                                 | 2 +-
 games-engines/flare/flare-0.19.ebuild                                   | 2 +-
 games-engines/freeablo/freeablo-0.1.ebuild                              | 2 +-
 games-engines/gemrb/gemrb-0.8.1.ebuild                                  | 2 +-
 games-engines/gemrb/gemrb-0.8.2.ebuild                                  | 2 +-
 games-engines/gemrb/gemrb-0.8.3.1.ebuild                                | 2 +-
 games-engines/love/love-0.7.2-r1.ebuild                                 | 2 +-
 games-engines/love/love-0.8.0-r1.ebuild                                 | 2 +-
 games-engines/love/love-0.9.0-r201.ebuild                               | 2 +-
 games-engines/love/love-0.9.0.ebuild                                    | 2 +-
 games-engines/love/love-0.9.1-r201.ebuild                               | 2 +-
 games-engines/love/love-0.9.1.ebuild                                    | 2 +-
 games-engines/odamex/odamex-0.7.0.ebuild                                | 2 +-
 games-engines/openmw/openmw-0.36.1.ebuild                               | 2 +-
 games-engines/renpy/renpy-6.14.1-r1.ebuild                              | 2 +-
 games-engines/renpy/renpy-6.15.7.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.16.5.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.17.7.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.18.2.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.18.3.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.99.1.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.99.2.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.99.3.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.99.4.ebuild                                 | 2 +-
 games-engines/renpy/renpy-6.99.5.ebuild                                 | 2 +-
 games-engines/residualvm/residualvm-0.1.1-r1.ebuild                     | 2 +-
 games-engines/residualvm/residualvm-0.2.1.ebuild                        | 2 +-
 games-engines/scummvm/scummvm-1.7.0-r2.ebuild                           | 2 +-
 games-engines/solarus/solarus-1.3.1.ebuild                              | 2 +-
 games-engines/solarus/solarus-1.4.0.ebuild                              | 2 +-
 games-engines/stratagus/stratagus-2.2.7.ebuild                          | 2 +-
 games-fps/argonium/argonium-1.00.ebuild                                 | 2 +-
 games-fps/doomsday/doomsday-1.14.5.ebuild                               | 2 +-
 games-fps/duke3d-data/duke3d-data-1.0-r2.ebuild                         | 2 +-
 games-fps/eduke32/eduke32-20131119.4169.ebuild                          | 2 +-
 games-fps/eduke32/eduke32-99999999.ebuild                               | 2 +-
 games-fps/freedoom/freedoom-0.9.ebuild                                  | 2 +-
 games-fps/sauerbraten/sauerbraten-2013.01.04.ebuild                     | 2 +-
 games-fps/tremulous/tremulous-1.1.0-r4.ebuild                           | 2 +-
 games-fps/unvanquished-data/unvanquished-data-0.36.0.ebuild             | 2 +-
 games-fps/unvanquished-data/unvanquished-data-0.37.0.ebuild             | 2 +-
 games-fps/unvanquished/unvanquished-0.36.0-r1.ebuild                    | 2 +-
 games-fps/unvanquished/unvanquished-0.37.0-r1.ebuild                    | 2 +-
 games-fps/urbanterror/urbanterror-4.2.021.ebuild                        | 2 +-
 games-fps/urbanterror/urbanterror-4.2.022.ebuild                        | 2 +-
 games-fps/urbanterror/urbanterror-4.2.023.ebuild                        | 2 +-
 games-fps/warsow/warsow-1.5.1-r1.ebuild                                 | 2 +-
 games-fps/xonotic/xonotic-0.7.0-r1.ebuild                               | 2 +-
 games-fps/xonotic/xonotic-0.8.0.ebuild                                  | 2 +-
 games-misc/autumns-journey/autumns-journey-1.0.ebuild                   | 2 +-
 games-misc/katawa-shoujo/katawa-shoujo-1.3j-r1.ebuild                   | 2 +-
 games-misc/opengfx/opengfx-0.5.1-r1.ebuild                              | 2 +-
 games-misc/openmsx/openmsx-0.3.1-r1.ebuild                              | 2 +-
 games-misc/opensfx/opensfx-0.2.3-r1.ebuild                              | 2 +-
 games-puzzle/enigma/enigma-1.20-r1.ebuild                               | 2 +-
 games-puzzle/enigma/enigma-1.21.ebuild                                  | 2 +-
 games-puzzle/opengoo/opengoo-9999.ebuild                                | 2 +-
 games-roguelike/mazesofmonad/mazesofmonad-1.0.9-r2.ebuild               | 2 +-
 games-roguelike/nethack/nethack-3.4.3-r2.ebuild                         | 2 +-
 games-roguelike/stone-soup/stone-soup-0.15.2.ebuild                     | 2 +-
 games-roguelike/stone-soup/stone-soup-0.16.1.ebuild                     | 2 +-
 games-roguelike/tome4/tome4-1.2.5.ebuild                                | 2 +-
 games-roguelike/tome4/tome4-1.3.0.ebuild                                | 2 +-
 games-roguelike/tome4/tome4-1.3.1.ebuild                                | 2 +-
 games-rpg/arx-libertatis/arx-libertatis-1.1.2.ebuild                    | 2 +-
 games-rpg/baldurs-gate-2-ee/baldurs-gate-2-ee-1.0.0.1-r1.ebuild         | 2 +-
 games-rpg/baldurs-gate-ee/baldurs-gate-ee-1.0.0.1-r1.ebuild             | 2 +-
 games-rpg/flare/flare-0.19.ebuild                                       | 2 +-
 games-rpg/freedink-data/freedink-data-1.08.20140901.ebuild              | 2 +-
 games-rpg/freedink/freedink-108.4.ebuild                                | 2 +-
 games-rpg/pillars-of-eternity/pillars-of-eternity-1.5.0.7.ebuild        | 2 +-
 games-rpg/sumwars/sumwars-0.5.8.ebuild                                  | 2 +-
 games-rpg/valyriatear/valyriatear-1.0.0.ebuild                          | 2 +-
 games-rpg/wasteland2/wasteland2-1.9.0.13-r1.ebuild                      | 2 +-
 games-rpg/zsdx/zsdx-1.10.1.ebuild                                       | 2 +-
 games-rpg/zsdx/zsdx-1.9.0.ebuild                                        | 2 +-
 games-rpg/zsxd/zsxd-1.10.1.ebuild                                       | 2 +-
 games-rpg/zsxd/zsxd-1.9.0.ebuild                                        | 2 +-
 games-server/netmaumau/netmaumau-0.12-r2.ebuild                         | 2 +-
 games-server/netmaumau/netmaumau-0.13-r2.ebuild                         | 2 +-
 games-server/netmaumau/netmaumau-0.14-r1.ebuild                         | 2 +-
 games-server/netmaumau/netmaumau-0.15-r1.ebuild                         | 2 +-
 games-server/netmaumau/netmaumau-0.16-r1.ebuild                         | 2 +-
 games-server/netmaumau/netmaumau-0.17.0-r1.ebuild                       | 2 +-
 games-server/netmaumau/netmaumau-0.17.1-r1.ebuild                       | 2 +-
 games-server/netmaumau/netmaumau-0.18.0.ebuild                          | 2 +-
 games-server/netmaumau/netmaumau-0.19.0.ebuild                          | 2 +-
 games-server/netmaumau/netmaumau-0.20.1.ebuild                          | 2 +-
 games-server/netmaumau/netmaumau-0.21.0-r1.ebuild                       | 2 +-
 games-server/netmaumau/netmaumau-0.22.0.ebuild                          | 2 +-
 games-server/netmaumau/netmaumau-0.23.0.ebuild                          | 2 +-
 games-simulation/lincity-ng/lincity-ng-2.0.ebuild                       | 2 +-
